code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
HEA_ST_manual_bin_10,HEA,ST,manual_bin_10,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 10","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 10",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 10",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_1,HEA,ST,manual_bin_1,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 1","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 1",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 1",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_4,HEA,ST,manual_bin_4,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 4","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 4",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 4",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_3,HEA,ST,manual_bin_3,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 3","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 3",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 3",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_5,HEA,ST,manual_bin_5,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 5","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 5",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 5",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_10_15,HEA,ST,manual_bin_10_15,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 10-15","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 10-15",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 10-15",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_15_20,HEA,ST,manual_bin_15_20,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 15-20","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 15-20",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 15-20",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_20_30,HEA,ST,manual_bin_20_30,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 20-30","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 20-30",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 20-30",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_50_100,HEA,ST,manual_bin_50_100,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 50-100","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 50-100",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 50-100",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_2,HEA,ST,manual_bin_2,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 2","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 2",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 2",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_ST_manual_bin_40_50,HEA,ST,manual_bin_40_50,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 40-50","Lægemiddelmængde pr. pakning (VOLUME), enhed Stk (VOLTYPECODE ST): 40-50",,,"Medicine volume per package (VOLUME), unit units (pieces) (VOLTYPECODE ST): 40-50",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
