code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
HEA_GA_manual_bin_1,HEA,GA,manual_bin_1,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 1","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 1",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 1",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_5,HEA,GA,manual_bin_5,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 5","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 5",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 5",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_6,HEA,GA,manual_bin_6,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 6","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 6",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 6",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_2,HEA,GA,manual_bin_2,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 2","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 2",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 2",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_10_15,HEA,GA,manual_bin_10_15,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 10-15","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 10-15",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 10-15",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_20_30,HEA,GA,manual_bin_20_30,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 20-30","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 20-30",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 20-30",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_3,HEA,GA,manual_bin_3,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 3","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 3",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 3",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_8,HEA,GA,manual_bin_8,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 8","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 8",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 8",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_40_50,HEA,GA,manual_bin_40_50,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 40-50","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 40-50",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 40-50",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_50_100,HEA,GA,manual_bin_50_100,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 50-100","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 50-100",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 50-100",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_10,HEA,GA,manual_bin_10,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 10","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 10",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 10",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_9,HEA,GA,manual_bin_9,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 9","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 9",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 9",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GA_manual_bin_100_500,HEA,GA,manual_bin_100_500,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 100-500","Lægemiddelmængde pr. pakning (VOLUME), enhed g (aktivt stof) (VOLTYPECODE GA): 100-500",,,"Medicine volume per package (VOLUME), unit grams of active substance (VOLTYPECODE GA): 100-500",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
