code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
HEA_ML_manual_bin_100_500,HEA,ML,manual_bin_100_500,lab tests (ML): 100-500 (bin),,lab tests (ML): 100-500 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_20_30,HEA,ML,manual_bin_20_30,lab tests (ML): 20-30 (bin),,lab tests (ML): 20-30 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_10,HEA,ML,manual_bin_10,lab tests (ML): 10 (bin),,lab tests (ML): 10 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_50_100,HEA,ML,manual_bin_50_100,lab tests (ML): 50-100 (bin),,lab tests (ML): 50-100 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_10_15,HEA,ML,manual_bin_10_15,lab tests (ML): 10-15 (bin),,lab tests (ML): 10-15 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_15_20,HEA,ML,manual_bin_15_20,lab tests (ML): 15-20 (bin),,lab tests (ML): 15-20 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_40_50,HEA,ML,manual_bin_40_50,lab tests (ML): 40-50 (bin),,lab tests (ML): 40-50 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_5,HEA,ML,manual_bin_5,lab tests (ML): 5 (bin),,lab tests (ML): 5 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_8,HEA,ML,manual_bin_8,lab tests (ML): 8 (bin),,lab tests (ML): 8 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_3,HEA,ML,manual_bin_3,lab tests (ML): 3 (bin),,lab tests (ML): 3 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_4,HEA,ML,manual_bin_4,lab tests (ML): 4 (bin),,lab tests (ML): 4 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_500_1000,HEA,ML,manual_bin_500_1000,lab tests (ML): 500-1000 (bin),,lab tests (ML): 500-1000 (bin),none|generated,medium,danish,,
HEA_ML_over_1000,HEA,ML,over_1000,lab tests (ML): over 1000 (bin),,lab tests (ML): over 1000 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_30_40,HEA,ML,manual_bin_30_40,lab tests (ML): 30-40 (bin),,lab tests (ML): 30-40 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_7,HEA,ML,manual_bin_7,lab tests (ML): 7 (bin),,lab tests (ML): 7 (bin),none|generated,medium,danish,,
HEA_ML_manual_bin_9,HEA,ML,manual_bin_9,lab tests (ML): 9 (bin),,lab tests (ML): 9 (bin),none|generated,medium,danish,,
