code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
DEM_statsb_5999,DEM,statsb,5999,Country unknown (1),Land ukendt (1),,,Country unknown (1),,,translated,CSV:DEM_statsb,medium,danish,,,11050919,5525547,0.611999,,
DEM_statsb_unknown,DEM,statsb,unknown,Country: unknown,,,,Country: unknown,,,translated,none|generated,medium,danish,,,,,,,
DEM_statsb_5704,DEM,statsb,5704,Ukraine,Ukraine,,,Ukraine,Ukraine,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,139567,69840,0.007735,,
DEM_statsb_5100,DEM,statsb,5100,Danmark,Danmark,,,Denmark,Denmark,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,9346715,7273289,0.805576,,
DEM_statsb_5486,DEM,statsb,5486,Syrien,Syrien,,,Syria,Syria,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,87594,44091,0.004883,,
DEM_statsb_5180,DEM,statsb,5180,Tyskland,Tyskland,,,Germany,Germany,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,165971,87178,0.009656,,
DEM_statsb_5390,DEM,statsb,5390,USA,USA,,,United States,United States,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,131859,67742,0.007503,,
DEM_statsb_5492,DEM,statsb,5492,Thailand,Thailand,,,Thailand,Thailand,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,35934,18629,0.002063,,
DEM_statsb_5170,DEM,statsb,5170,Storbritannien,Storbritannien,,,United Kingdom,United Kingdom,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,89894,50078,0.005547,,
DEM_statsb_5611,DEM,statsb,5611,Litauen,Litauen,,,Lithuania,Lithuania,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,69386,34765,0.003851,,
DEM_statsb_5140,DEM,statsb,5140,Nederlandene,Nederlandene,,,Netherlands,Netherlands,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,44876,23498,0.002603,,
DEM_statsb_5150,DEM,statsb,5150,Italien,Italien,,,Italy,Italy,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,76540,39717,0.004399,,
DEM_statsb_5474,DEM,statsb,5474,Filippinerne,Filippinerne,,,Philippines,Philippines,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,,54988,28117,0.003114,,
