code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
SOC_ubstrflg_Q1,SOC,ubstrflg,Q1,unconditional sentence length: quantile 1,,,unconditional sentence length: quantile 1,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q2,SOC,ubstrflg,Q2,unconditional sentence length: quantile 2,,,unconditional sentence length: quantile 2,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q5,SOC,ubstrflg,Q5,unconditional sentence length: quantile 5,,,unconditional sentence length: quantile 5,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q3,SOC,ubstrflg,Q3,unconditional sentence length: quantile 3,,,unconditional sentence length: quantile 3,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q6,SOC,ubstrflg,Q6,unconditional sentence length: quantile 6,,,unconditional sentence length: quantile 6,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q4,SOC,ubstrflg,Q4,unconditional sentence length: quantile 4,,,unconditional sentence length: quantile 4,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q7,SOC,ubstrflg,Q7,unconditional sentence length: quantile 7,,,unconditional sentence length: quantile 7,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q10,SOC,ubstrflg,Q10,unconditional sentence length: quantile 10,,,unconditional sentence length: quantile 10,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q8,SOC,ubstrflg,Q8,unconditional sentence length: quantile 8,,,unconditional sentence length: quantile 8,,,translated,none|generated,medium,danish,,
SOC_ubstrflg_Q9,SOC,ubstrflg,Q9,unconditional sentence length: quantile 9,,,unconditional sentence length: quantile 9,,,translated,none|generated,medium,danish,,
