code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
DEM_mor_foed_adop_unknown,DEM,mor,foed_adop_unknown,Mother birth/adoption status: unknown,,Mother birth/adoption status: unknown,none|generated,medium,danish,,
DEM_mor_foed_adop_21,DEM,mor,foed_adop_21,Parents registered shortly after childbirth,Parents registered shortly after childbirth,Parents registered shortly after childbirth,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_33,DEM,mor,foed_adop_33,Child born before 1973,Child born before 1973,Child born before 1973,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_99,DEM,mor,foed_adop_99,Mother birth/adoption status: not applicable,,Mother birth/adoption status: not applicable,none|generated,medium,danish,,
DEM_mor_foed_adop_31,DEM,mor,foed_adop_31,Child is an Immigrant,Child is an Immigrant,Child is an Immigrant,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_32,DEM,mor,foed_adop_32,Child is registered for birth abroad,Child is registered for birth abroad,Child is registered for birth abroad,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_0,DEM,mor,foed_adop_0,No parent in the square,No parent in the square,No parent in the square,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_39,DEM,mor,foed_adop_39,Other parent relations,Other parent relations,Other parent relations,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_35,DEM,mor,foed_adop_35,Child born abroad or before 1973 and subsequently adopted,Child born abroad or before 1973 and subsequently adopted,Child born abroad or before 1973 and subsequently adopted,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_18,DEM,mor,foed_adop_18,"Only mothers of children born after 1 January 1991: The child is registered for birth abroad, while mother is resident in DK","Only mothers of children born after 1 January 1991: The child is registered for birth abroad, while mother is resident in DK","Only mothers of children born after January 1, 1991: The child is registered for birth abroad, while the mother is a resident in Denmark",CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_11,DEM,mor,foed_adop_11,Adoptive relationship according to Adoption register,Adoptive relationship according to Adoption register,Adoptive relationship according to Adoption register,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_12,DEM,mor,foed_adop_12,"Child in Adoption Register, but the adoptive relationship may be with other parent","Child in Adoption Register, but the adoptive relationship may be with other parent","Child in Adoption Register, but the adoptive relationship may be with other parent",CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_17,DEM,mor,foed_adop_17,Mothers only: Adoption mark in previous FTDB,Mothers only: Adoption mark in previous FTDB,Mothers only: Adoption mark in previous FTDB,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_15,DEM,mor,foed_adop_15,Adoption Marking in CPR,Adoption Marking in CPR,Adoption Marking in CPR,CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_14,DEM,mor,foed_adop_14,Parent has other sex (Dad is a woman or mother is male),Parent has other sex (Dad is a woman or mother is male),Parent has different sex (Dad is a woman or mother is male),CSV:DEM_mor_foed_adop,medium,danish,,
DEM_mor_foed_adop_2,DEM,mor,foed_adop_2,Mother birth/adoption status: 2,,Mother birth/adoption status: 2,none|generated,medium,danish,,
