code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_rentudgpr_Q16,LAB,rentudgpr,Q16,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 16/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 16/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 16/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,2297802,1407427,0.155884
LAB_rentudgpr_Q6,LAB,rentudgpr,Q6,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 6/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 6/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 6/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,3776212,1993312,0.220776
LAB_rentudgpr_Q9,LAB,rentudgpr,Q9,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 9/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 9/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 9/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,2933006,1678865,0.185948
LAB_rentudgpr_Q18,LAB,rentudgpr,Q18,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 18/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 18/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 18/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,2208790,1365618,0.151253
LAB_rentudgpr_Q4,LAB,rentudgpr,Q4,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 4/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 4/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 4/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,5030054,2396623,0.265445
LAB_rentudgpr_Q15,LAB,rentudgpr,Q15,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 15/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 15/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 15/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,2351954,1433608,0.158784
LAB_rentudgpr_Q8,LAB,rentudgpr,Q8,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 8/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 8/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 8/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,3135397,1757506,0.194658
LAB_rentudgpr_Q10,LAB,rentudgpr,Q10,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 10/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 10/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 10/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,2775672,1615466,0.178926
LAB_rentudgpr_Q5,LAB,rentudgpr,Q5,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 5/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 5/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 5/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,4271084,2163004,0.23957
LAB_rentudgpr_Q3,LAB,rentudgpr,Q3,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 3/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 3/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 3/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,,6257501,2725785,0.301903
