# id	description_da_full	description_en	confidence
0	Almen lægehjælp 80	General practitioner (specialty 80)	high
1	Anæstesiologi	Anaesthesiology	high
2	Briller	Eyeglasses	high
3	Børnepsykiatri	Child psychiatry	high
4	Dermato-venerologi	Dermato-venereology	high
5	Diagnostisk radiologi	Diagnostic radiology	high
6	Fodbehandling, arvævspatienter	Foot treatment, scar-tissue patients	high
7	Fodbehandling, leddegigt	Foot treatment, rheumatoid arthritis	high
8	Fodterapi	Podiatry	high
9	Fysioterapi 51	Physiotherapy (specialty 51)	high
10	Fysioterapi 61	Physiotherapy (specialty 61)	high
11	Gynækologi/obstetrik	Gynaecology/obstetrics	high
12	Intern medicin	Internal medicine	high
13	KAK vagtlægehjælp 82	KAK on-call GP service (specialty 82)	high
14	KAK vagtlægehjælp 84	KAK on-call GP service (specialty 84)	high
15	Kiropraktik, kronikere	Chiropractic, chronic patients	high
16	Kirurgi	Surgery	high
17	Københavns Praktiserende Lægers Laboratorium	Copenhagen GP Laboratory (KPLL)	high
18	Medicinsk Laboratorium	Medical Laboratory	high
19	Neuromedicin	Neurology	high
20	Omegnslaboratorier	Regional laboratories	high
21	Ortonyxi	Orthonyxia (nail bracing)	high
22	Ortopædisk kirurgi	Orthopaedic surgery	high
23	Plastikkirurgi	Plastic surgery	high
24	Præhospital	Pre-hospital	high
25	Psykiatri	Psychiatry	high
26	Psykologhjælp	Psychology service	high
27	Pædiatri	Paediatrics	high
28	Reumatologi	Rheumatology	high
29	Statens Serum Institut	Statens Serum Institut (State Serum Institute)	high
30	Tandlægehjælp	Dental service	high
31	Tolkebistand	Interpreter service	high
32	Tropemedicin	Tropical medicine	high
33	Vagtlægehjælp 83	On-call GP service (specialty 83)	high
34	Vederlagsfri fysioterapi	Free-of-charge physiotherapy	high
35	Øjenlægehjælp	Ophthalmology service	high
36	Ørelægehjælp	ENT (ear, nose & throat) service	high
37	Ørelægevagt KAK	ENT on-call service, KAK	high
38	Anæstesiologi, (procedure ikke dokumenteret)	Anaesthesiology, (procedure not documented)	low
39	Anæstesiologi, 1. konsultation med operation	Anaesthesiology, 1st consultation with operation	high
40	Anæstesiologi, 1. konsultation, smertetilstand	Anaesthesiology, 1st consultation, pain condition	medium
41	Anæstesiologi, 1. konsultation med operation m.v.	Anaesthesiology, 1st consultation with operation etc.	high
42	Anæstesiologi, 2. konsultation, smertetilstand	Anaesthesiology, 2nd consultation, pain condition	medium
43	Anæstesiologi, afstandstillæg	Anaesthesiology, distance supplement	high
44	Anæstesiologi, akupunktur	Anaesthesiology, acupuncture	high
45	Anæstesiologi, anæstesi med intubation 30-60 min	Anaesthesiology, anaesthesia with intubation 30-60 min	high
46	Anæstesiologi, anæstesi med intubation 61-120 min	Anaesthesiology, anaesthesia with intubation 61-120 min	high
47	Anæstesiologi, anæstesi med intubation over 120 min	Anaesthesiology, anaesthesia with intubation over 120 min	high
48	Anæstesiologi, bedøvelse gruppe I (første)	Anaesthesiology, anaesthesia group I (first)	high
49	Anæstesiologi, bedøvelse gruppe I (følgende)	Anaesthesiology, anaesthesia group I (subsequent)	high
50	Anæstesiologi, bedøvelse gruppe II (første)	Anaesthesiology, anaesthesia group II (first)	high
51	Anæstesiologi, bedøvelse gruppe II (følgende)	Anaesthesiology, anaesthesia group II (subsequent)	high
52	Anæstesiologi, bedøvelse gruppe III (første)	Anaesthesiology, anaesthesia group III (first)	high
53	Anæstesiologi, bedøvelse gruppe III (følgende)	Anaesthesiology, anaesthesia group III (subsequent)	high
54	Anæstesiologi, bedøvelse gruppe IV (første)	Anaesthesiology, anaesthesia group IV (first)	high
55	Anæstesiologi, bedøvelse gruppe IV (følgende)	Anaesthesiology, anaesthesia group IV (subsequent)	high
56	Anæstesiologi, besøg	Anaesthesiology, visit	high
57	Anæstesiologi, bistand til øjen/øre	Anaesthesiology, assistance for eye/ear procedures	high
58	Anæstesiologi, e-mail konsultation	Anaesthesiology, e-mail consultation	high
59	Anæstesiologi, e-mail konsultation	Anaesthesiology, e-mail consultation	high
61		Anaesthesiology, injection into epidural space	high
63		Anaesthesiology, intra-arterial injection	high
66		Anaesthesiology, mileage allowance I	high
67		Anaesthesiology, conduction block / nerve block	high
69		Anaesthesiology, manipulation treatment	high
71		Anaesthesiology, neurolytic blocks	high
73		Anaesthesiology, perivertebral block	high
75		Anaesthesiology, later consultation, pain	high
76		Anaesthesiology, sympathetic block (cervical)	high
77		Anaesthesiology, sympathetic block (lumbar)	high
78		Anaesthesiology, telephone consultation, pain	high
79		Anaesthesiology, telephone advice from GP	high
80		Anaesthesiology, interpreter for consultation (§3)	high
81		Anaesthesiology, transcutaneous nerve stimulation (TENS)	high
83		Anaesthesiology, extended lung function test	high
86		Anaesthesiology, physician anaesthesia for ENT assistance	medium
96		ENT on-call, KAK, incision of eardrum (myringotomy)	high
98		ENT on-call, KAK, caustic treatment of the nose	high
102		ENT on-call, KAK, streptococcal antigen test	high
103		ENT on-call, KAK, hearing examination (tone/speech)	high
110		Neurology, 1st consultation, §3, county 20	medium
115		Neurology, EEG with sleep recording	high
116		Neurology, electroencephalography (EEG)	high
119		Neurology, mileage allowance I	high
120		Neurology, neurosurgery, 1st consultation	high
121		Neurology, neurosurgery, 2nd consultation	high
122		Neurology, neurosurgery, 3rd consultation	high
123		Neurology, neurosurgery, telephone consultation	high
124		Neurology, later consultation, §3, county 20	medium
127		Neurology, telephone advice from GP	high
128		Neurology, interpreter for consultation (§3)	high
138		Ophthalmology service, automated perimetry	high
139		Ophthalmology service, treatment of after-cataract, YAG laser, subsequent	high
141		Ophthalmology service, treatment of glaucoma, YAG laser, subsequent	high
143		Ophthalmology service, treatment of glaucoma, YAG laser, subsequent	high
147		Ophthalmology service, CCT screening, county 65	medium
148		Ophthalmology service, diagnosis of retinal detachment	high
156		Ophthalmology service, removal of sutures, cornea, with anaesthesia	high
157		Ophthalmology service, removal of sutures, cornea	high
163		Ophthalmology service, photocoagulation of chamber angle, county 20	high
165		Ophthalmology service, photocoagulation of chamber angle	high
167		Ophthalmology service, glaucoma assessment etc.	high
168		Ophthalmology service, cataract, 1st operation, county 20	medium
169		Ophthalmology service, cataract, 1st operation, county 25	medium
170		Ophthalmology service, cataract, 1st operation, county 30	medium
171		Ophthalmology service, cataract, 1st operation, county 42	medium
172		Ophthalmology service, cataract, 1st operation, county 50	medium
173		Ophthalmology service, cataract, 1st operation, county 80	medium
175		Ophthalmology service, cataract, subsequent operation, county 42	medium
177		Ophthalmology service, cataract operation, county 65	medium
183		Ophthalmology service, recall of patient	high
186		Ophthalmology service, consultation incl. fundus, county 60	medium
187		Ophthalmology service, mileage allowance I	high
188		Ophthalmology service, laser treatment of retinal tear, subsequent	high
189		Ophthalmology service, laser treatment of retinal tear	high
191		Ophthalmology service, operation for inward-turned eyelid (entropion), with anaesthesia	high
192		Ophthalmology service, operation for inward-turned eyelid (entropion)	high
193		Ophthalmology service, operation for outward-turned eyelid (ectropion), with anaesthesia	high
194		Ophthalmology service, operation for outward-turned eyelid (ectropion)	high
201		Ophthalmology service, blepharochalasis operation, with anaesthesia	high
202		Ophthalmology service, blepharochalasis operation	high
203		Ophthalmology service, cataract operation (code B042)	high
206		Ophthalmology service, cataract operation, county 30	medium
207		Ophthalmology service, cataract operation, county 76	medium
208		Ophthalmology service, cataract operation, county 76	medium
209		Ophthalmology service, cataract operation, county 15	medium
211		Ophthalmology service, orthoptic assessment etc.	high
213		Ophthalmology service, retinal photocoagulation	high
214		Ophthalmology service, retinal photocoagulation	high
215		Ophthalmology service, retinal photocoagulation, subsequent	high
221		Ophthalmology service, probing of tear ducts	high
222		Ophthalmology service, probing of tear ducts, with anaesthesia	high
223		Ophthalmology service, probing of tear ducts, with anaesthesia	high
224		Ophthalmology service, subconjunctival injection and block, with anaesthesia	high
225		Ophthalmology service, subconjunctival injection and block	high
228		Ophthalmology service, interpreter for consultation (§3)	high
231		Ophthalmology service, YAG laser, subsequent operation	high
233		Ophthalmology service, cataract operation, county 76	medium
237		Ophthalmology service, blepharochalasis operation	high
238		Ophthalmology service, cataract operation with intraocular lens insertion	high
240		Ophthalmology service, telephone advice from GP	high
243		Ophthalmology service, vitrectomy and retina	medium
248		Orthopaedic surgery, 1st consultation with operation etc.	high
251		Orthopaedic surgery, finger amputation, 1st, with anaesthesia	high
252		Orthopaedic surgery, finger amputation, 1st	high
253		Orthopaedic surgery, finger amputation, subsequent	high
255		Orthopaedic surgery, knee arthroscopy, larger, subsequent operation	medium
256		Orthopaedic surgery, finger-joint arthrodesis, subsequent, with anaesthesia	high
259		Orthopaedic surgery, finger-joint arthrodesis, 1st, with anaesthesia	high
260		Orthopaedic surgery, finger-joint arthrodesis, 1st	high
261		Orthopaedic surgery, finger-joint arthrodesis, subsequent	high
262		Orthopaedic surgery, fracture treatment, 1st	high
263		Orthopaedic surgery, fracture treatment, 1st, with anaesthesia	high
264		Orthopaedic surgery, fracture treatment, subsequent, with anaesthesia	high
265		Orthopaedic surgery, fracture treatment, subsequent	high
268		Orthopaedic surgery, diagnostic arthroscopy with operation	high
271		Orthopaedic surgery, Doppler examination of veins	high
272		Orthopaedic surgery, duplex scan of veins	high
276		Orthopaedic surgery, removal of tumour, hand, subsequent, with anaesthesia	high
277		Orthopaedic surgery, removal of tumour in muscle	high
279		Orthopaedic surgery, removal of radius bone (spoleben), subsequent, with anaesthesia	medium
280		Orthopaedic surgery, removal of tumour, hand, 1st, with anaesthesia	high
283		Orthopaedic surgery, removal of nail bed, 1st, with anaesthesia	high
286		Orthopaedic surgery, removal of radius bone (spoleben), 1st, with anaesthesia	medium
287		Orthopaedic surgery, removal of radius bone (spoleben), 1st	medium
290		Orthopaedic surgery, removal of skin tumour, subsequent	high
291		Orthopaedic surgery, cast in connection with operation	high
293		Orthopaedic surgery, vein injection, 1st consultation	high
294		Orthopaedic surgery, vein injection, later consultation	high
297		Orthopaedic surgery, bone displacement operation (osteotomy)	high
302		Orthopaedic surgery, nerve decompression	high
303		Orthopaedic surgery, finger operation, subsequent	low
305		Orthopaedic surgery, operation for palm contracture (Dupuytren), 1st, with anaesthesia	medium
306		Orthopaedic surgery, operation for palm contracture (Dupuytren), subsequent, with anaesthesia	medium
307		Orthopaedic surgery, operation for palm contracture, 1st	medium
309		Orthopaedic surgery, operation for osteoarthritis of big toe, subsequent	high
310		Orthopaedic surgery, operation for osteoarthritis of big toe, 1st, with anaesthesia	high
311		Orthopaedic surgery, operation for osteoarthritis of big toe, 1st	high
312		Orthopaedic surgery, trigger finger operation, 1st, with anaesthesia	high
313		Orthopaedic surgery, trigger finger operation, subsequent, with anaesthesia	high
314		Orthopaedic surgery, operation for osteoarthritis of big toe, subsequent, with anaesthesia	high
316		Orthopaedic surgery, varicose vein operation, excision, groin, right	high
317		Orthopaedic surgery, varicose vein operation, groin, right, bilateral	high
324		Orthopaedic surgery, ganglion (tendon) operation, subsequent, with anaesthesia	medium
328		Orthopaedic surgery, trigger finger operation, subsequent	high
329		Orthopaedic surgery, trigger finger operation, 1st	high
331		Orthopaedic surgery, varicose vein operation, groin, 1st, with anaesthesia	high
332		Orthopaedic surgery, varicose vein operation, groin, 1st	high
333		Orthopaedic surgery, varicose vein operation, groin, subsequent	high
334		Orthopaedic surgery, finger operation, 1st	low
337		Orthopaedic surgery, varicose vein operation, subsequent	high
339		Orthopaedic surgery, oscillometry	medium
340		Orthopaedic surgery, plastic operation, subsequent, with anaesthesia	high
341		Orthopaedic surgery, plastic operation, 1st	high
342		Orthopaedic surgery, plastic operation, subsequent	high
343		Orthopaedic surgery, plastic operation, 1st, with anaesthesia	high
345		Orthopaedic surgery, cleaning of minor wounds, 1st, with anaesthesia	high
346		Orthopaedic surgery, cleaning of minor wounds, 1st	high
347		Orthopaedic surgery, cleaning of minor wounds, subsequent	high
352		Orthopaedic surgery, synovectomy, hand, subsequent, with anaesthesia	high
353		Orthopaedic surgery, synovectomy, hand, 1st	high
354		Orthopaedic surgery, synovectomy, hand, 1st, with anaesthesia	high
355		Orthopaedic surgery, synovectomy, hand, subsequent	high
356		Orthopaedic surgery, joint aspiration, 1st	high
357		Orthopaedic surgery, joint aspiration, subsequent	high
358		Orthopaedic surgery, joint aspiration, 1st, with anaesthesia	high
359		Orthopaedic surgery, joint aspiration, subsequent, with anaesthesia	high
362		Orthopaedic surgery, telephone advice from GP	high
366		Orthopaedic surgery, varicose vein operation in the groin	high
371		ENT service, 1st consultation, allergology	high
372		ENT service, 1st consultation, allergology, §3, county 20	medium
374		ENT service, 1st consultation, allergology	high
375		ENT service, 2nd consultation, allergology	high
376		ENT service, 2nd consultation, allergology, §3, county 20	medium
378		ENT service, 2nd consultation, allergology	high
380		ENT service, acoustic rhinometry	high
382		ENT service, basic service, §3 agreement, county 65	medium
383		ENT service, treatment of nosebleed, with tamponade	high
386		ENT service, sinus operation, antrostomy	high
387		ENT service, sinus operation, Caldwell-Luc	high
394		ENT service, skin test, §3 agreement, county 80	medium
396		ENT service, skin test, allergology	high
398		ENT service, double endoscopic rhinoscopy	high
401		ENT service, fine-needle diagnosis (FNA)	high
402		ENT service, removal of mucous polyp, nose, with anaesthesia	high
403		ENT service, removal of uvula	high
404		ENT service, removal of mucous polyp, nose	high
405		ENT service, removal of benign tumour	high
406		ENT service, removal of foreign body in larynx	high
407		ENT service, removal of tumour in larynx	high
408		ENT service, removal of tumour, with suture	high
409		ENT service, removal of tumour, without suture	high
410		ENT service, removal of adenoid vegetations, with anaesthesia	high
411		ENT service, removal of adenoid vegetations	high
415		ENT service, removal of tumour, larynx	high
417		ENT service, removal of ear polyps, with anaesthesia	high
418		ENT service, removal of ear polyps, with anaesthesia	high
420		ENT service, removal of tumour, reconstructive surgery	high
421		ENT service, preliminary examination for hearing aid, county 80	medium
422		ENT service, preliminary examination, §3, county 20	medium
423		ENT service, preliminary examination, §3, county 65	medium
424		ENT service, preliminary examination for hearing aid	high
425		ENT service, incision of eardrum (myringotomy)	high
428		ENT service, hearing aid fitting, subsequent	high
429		ENT service, hearing aid fitting	high
436		ENT service, caustic treatment of the nose	high
437		ENT service, caustic treatment of the nose, with anaesthesia	high
438		ENT service, correction of nasal septum (septoplasty)	high
439		ENT service, mileage allowance I	high
440		ENT service, wick treatment of inflamed ear canal	medium
442		ENT service, middle-ear operation, with tube and membrane	high
443		ENT service, middle-ear operation, with tympanometry	high
444		ENT service, middle-ear operation, exposure	low
445		ENT service, middle-ear operation, with anaesthesia	high
447		ENT service, monitoring of sleep apnoea	high
448		ENT service, myringoplasty	medium
449		ENT service, myringoplasty with graft	medium
450		ENT service, measurement of otoacoustic emissions	high
452		ENT service, jaw operation, dental, with anaesthesia	high
453		ENT service, operation for protruding ears (otoplasty), 1st, county 20	medium
454		ENT service, operation for tongue-tie (ankyloglossia)	high
455		ENT service, jaw operation, dental	high
456		ENT service, salivary gland operation, with anaesthesia	high
457		ENT service, salivary gland operation	high
459		ENT service, operation for protruding ears, subsequent	high
463		ENT service, debridement/cleaning, subsequent	high
464		ENT service, otolith repositioning manoeuvre	high
465		ENT service, otoneurological examination	high
470		ENT service, puncture of maxillary sinus, with anaesthesia	high
473		ENT service, later consultation, §3 agreement, county 80	medium
474		ENT service, later consultation, allergology	high
475		ENT service, later consultation, allergology	high
483		ENT service, streptococcal antigen test	high
485		ENT service, suture removal	high
486		ENT service, suture removal, subsequent	high
488		ENT service, telephone consultation, allergology, §3, county 20	medium
489		ENT service, telephone consultation, allergology	high
491		ENT service, supplement for interpreter, allergology	high
494		ENT service, telephone consultation, allergology	high
497		ENT service, tympanostomy tube insertion (grommet), with anaesthesia	high
498	Ørelægehjælp, Tubulation af trommehinde	ENT service, eardrum tubulation (grommet insertion)	high
499	Ørelægehjælp, Tubulation af kæbehule	ENT service, maxillary sinus tubulation	medium
500	Ørelægehjælp, Udlevering og instruktion	ENT service, dispensing and instruction	high
502	Ørelægehjælp, Ultralydsundersøgelse af bihuler	ENT service, ultrasound examination of sinuses	high
503	Ørelægehjælp, Undersøgelse af hørelse ved tone/sprog	ENT service, hearing examination by tone/speech audiometry	high
504	Ørelægehjælp, Undersøgelse af ligevægt ved kalorisk prøve	ENT service, balance (equilibrium) examination by caloric test	medium
505	Ørelægehjælp, Undersøgelse af spiserør med videre	ENT service, examination of oesophagus etc.	high
506	Ørelægehjælp, Undersøgelse af hypopharynx og larynx	ENT service, examination of hypopharynx and larynx	high
507	Ørelægehjælp, Undersøgelse af hypopharynx larynx	ENT service, examination of hypopharynx and larynx	high
509	Ørelægehjælp, fjernelse af fremmedlegeme	ENT service, removal of foreign body	high
511	Ørelægehjælp, telefonrådgivning praktiserende læge	ENT service, telephone advice from GP	high
515	Ørelægehjælp, øreprop/skåltilpasning §3	ENT service, earplug/ear-mould fitting (§3 agreement)	medium
516	Patologi, Immunhistokemisk præparat	Pathology, immunohistochemical specimen	high
519	Patologi, Vævsmikroskopi cytologi	Pathology, tissue microscopy, cytology	high
531	Plastikkirurgi, Flytning af hud 1.	Plastic surgery, skin transfer (flap), 1st	high
532	Plastikkirurgi, Flytning af hud følgende	Plastic surgery, skin transfer (flap), subsequent	high
533	Plastikkirurgi, Indsættelse af alloplastik 1.	Plastic surgery, insertion of alloplastic implant, 1st	high
535	Plastikkirurgi, Korrektion næse-øre, følgende	Plastic surgery, correction of nose/ear, subsequent	high
536	Plastikkirurgi, Korrektion næse-øre, 1.	Plastic surgery, correction of nose/ear, 1st	high
539	Plastikkirurgi, Operation for forhudsforsnævring, følgende	Plastic surgery, operation for phimosis (foreskin narrowing), subsequent	high
540	Plastikkirurgi, Operation for forhudsforsnævring, 1.	Plastic surgery, operation for phimosis (foreskin narrowing), 1st	high
541	Plastikkirurgi, Operation for hudkræft, 1.	Plastic surgery, operation for skin cancer, 1st	high
542	Plastikkirurgi, Operation for hudkræft, følgende	Plastic surgery, operation for skin cancer, subsequent	high
547	Plastikkirurgi, telefonrådgivning praktiserende læge	Plastic surgery, telephone advice from GP	high
555	Psykiatri, B-Erytrocytter, volumenfraktion 1	Psychiatry, blood erythrocyte volume fraction (haematocrit) 1	medium
556	Psykiatri, B-Glukose (ej stix) 4	Psychiatry, blood glucose (not stix) 4	high
557	Psykiatri, B-Glukose (stix) 1	Psychiatry, blood glucose (stix) 1	high
559	Psykiatri, B-Leukocytter (park) 1	Psychiatry, blood leukocyte count (park) 1	medium
561	Psykiatri, B-Trombocytter (park) 3	Psychiatry, blood platelet count (park) 3	medium
564	Psykiatri, Familie- og gruppeterapi	Psychiatry, family and group therapy	high
567	Psykiatri, Kørselsgodtgørelse I	Psychiatry, mileage allowance I	medium
570	Psykiatri, Patient-EKG 3 ekstremiteter 3 prækordiale 9	Psychiatry, patient ECG, 3 limb leads, 3 precordial leads, 9	medium
580	Psykiatri, telefonrådgivning praktiserende læge	Psychiatry, telephone advice from GP	high
581	Psykiatri, Tolk i forbindelse med konsultation 3	Psychiatry, interpreter in connection with consultation, 3	high
582	Psykiatri, gruppeterapi 2 personer	Psychiatry, group therapy, 2 persons	high
583	Psykiatri, gruppeterapi 3 personer	Psychiatry, group therapy, 3 persons	high
584	Psykiatri, gruppeterapi 4 personer	Psychiatry, group therapy, 4 persons	high
585	Psykiatri, gruppeterapi 5 personer	Psychiatry, group therapy, 5 persons	high
586	Psykiatri, gruppeterapi 6 personer	Psychiatry, group therapy, 6 persons	high
593	Pædiatri, 1. konsultation allergologi (§3, amt 35)	Paediatrics, 1st allergology consultation (§3, county 35)	medium
597	Pædiatri, 2. konsultation allergologi (§3, amt 35)	Paediatrics, 2nd allergology consultation (§3, county 35)	medium
600	Pædiatri, Allergologisk cutanprøve	Paediatrics, allergology skin test	high
601	Pædiatri, Allergologisk provokationsforsøg	Paediatrics, allergology provocation (challenge) test	high
602	Pædiatri, Analafskrab for oxyurisæg 2	Paediatrics, anal scraping for pinworm (oxyuris) eggs, 2	high
605	Pædiatri, B-Glukose (ej stix) 4	Paediatrics, blood glucose (not stix) 4	high
606	Pædiatri, B-Glukose (stix) 1	Paediatrics, blood glucose (stix) 1	high
609	Pædiatri, B-Leukocytter (park) 1	Paediatrics, blood leukocyte count (park) 1	medium
611	Pædiatri, B-Trombocytter (park) 3	Paediatrics, blood platelet count (park) 3	medium
613	Pædiatri, Blodprøve ekspedition 1	Paediatrics, blood sample handling/dispatch, 1	medium
614	Pædiatri, Cutanprøve allergologi (§3, amt 35)	Paediatrics, allergology skin test (§3, county 35)	medium
616	Pædiatri, EKG 3 ekstremiteter 3 prækordiale 9	Paediatrics, ECG, 3 limb leads, 3 precordial leads, 9	medium
625	Pædiatri, Lungefunktionsundersøgelse med reversibilitet	Paediatrics, lung function test with reversibility	high
626	Pædiatri, Lungefunktionsundersøgelse uden reversibilitet	Paediatrics, lung function test without reversibility	high
629	Pædiatri, Patient-EKG aflæsning 6 1	Paediatrics, patient ECG reading, 6, 1	medium
632	Pædiatri, Tillægskonsultation allergologi (§3, amt 35)	Paediatrics, additional allergology consultation (§3, county 35)	medium
634	Pædiatri, telefonrådgivning praktiserende læge	Paediatrics, telephone advice from GP	high
635	Pædiatri, Urin-bakterier (dyrkning park) 3	Paediatrics, urine bacteria (culture, park) 3	medium
636	Pædiatri, urin-bakterier dyrkning, restgruppe 12	Paediatrics, urine bacteria culture, residual group 12	medium
647	Pædiatri, funktionsneurologisk undersøgelse	Paediatrics, functional neurological examination	high
658	Pædiatri, senere konsultation, allergologi (§3, amt 35)	Paediatrics, later consultation, allergology (§3, county 35)	medium
664	Pædiatri, tværfaglig telefonkonsultation	Paediatrics, interdisciplinary telephone consultation	high
676	Børnepsykiatri, 2./senere konsultation, forældreterapi	Child psychiatry, 2nd/later consultation, parent therapy	high
677	Børnepsykiatri, 2./senere konsultation, legeterapi	Child psychiatry, 2nd/later consultation, play therapy	high
678	Børnepsykiatri, 2./senere konsultation, samtaleterapi	Child psychiatry, 2nd/later consultation, talk therapy	high
681	Børnepsykiatri, børnepsykiatri (amt 15)	Child psychiatry, child psychiatry (county 15)	medium
683	Børnepsykiatri, honorar behandlingsmøde i børnepsykiatri	Child psychiatry, fee for treatment meeting in child psychiatry	medium
685	Børnepsykiatri, kørselsgodtgørelse I	Child psychiatry, mileage allowance I	high
688	Børnepsykiatri, telefonrådgivning praktiserende læge	Child psychiatry, telephone advice from general practitioner	high
694	Tropemedicin, blodprøve, ekspedition 1	Tropical medicine, blood sample, handling 1	medium
731	Diagnostisk radiologi København, undersøgelse gruppe 1, halvt	Diagnostic radiology, Copenhagen, examination group 1, half (reduced fee)	high
732	Diagnostisk radiologi København, undersøgelse gruppe 2, halvt	Diagnostic radiology, Copenhagen, examination group 2, half (reduced fee)	high
733	Diagnostisk radiologi København, undersøgelse gruppe 3, halvt	Diagnostic radiology, Copenhagen, examination group 3, half (reduced fee)	high
734	Diagnostisk radiologi København, undersøgelse gruppe 4, halvt	Diagnostic radiology, Copenhagen, examination group 4, half (reduced fee)	high
735	Diagnostisk radiologi København, undersøgelse gruppe 5, halvt	Diagnostic radiology, Copenhagen, examination group 5, half (reduced fee)	high
736	Diagnostisk radiologi København, undersøgelse gruppe 1	Diagnostic radiology, Copenhagen, examination group 1	high
737	Diagnostisk radiologi København, undersøgelse gruppe 2	Diagnostic radiology, Copenhagen, examination group 2	high
738	Diagnostisk radiologi København, undersøgelse gruppe 3	Diagnostic radiology, Copenhagen, examination group 3	high
739	Diagnostisk radiologi København, undersøgelse gruppe 4	Diagnostic radiology, Copenhagen, examination group 4	high
740	Diagnostisk radiologi København, undersøgelse gruppe 5	Diagnostic radiology, Copenhagen, examination group 5	high
741	Diagnostisk radiologi København, undersøgelse gruppe 6	Diagnostic radiology, Copenhagen, examination group 6	high
742	Diagnostisk radiologi København, undersøgelse gruppe 7	Diagnostic radiology, Copenhagen, examination group 7	high
764	Diagnostisk radiologi København, lænde og korsbenshvirvler	Diagnostic radiology, Copenhagen, lumbar and sacral vertebrae	high
780	Diagnostisk radiologi København, underben	Diagnostic radiology, Copenhagen, lower leg	high
789	Dermato-venerologi, 1. konsultation inklusive test	Dermato-venereology, 1st consultation including test	high
797	Dermato-venerologi, 2. og efterfølgende, Viborg	Dermato-venereology, 2nd and subsequent, Viborg	high
802	Dermato-venerologi, allergologi 1. konsultation	Dermato-venereology, allergology 1st consultation	high
803	Dermato-venerologi, allergologi 2. konsultation	Dermato-venereology, allergology 2nd consultation	high
804	Dermato-venerologi, allergologi cutanprøve	Dermato-venereology, allergology skin test	high
805	Dermato-venerologi, allergologi provokationsforsøg	Dermato-venereology, allergology provocation/challenge test	high
806	Dermato-venerologi, allergologi senere konsultation	Dermato-venereology, allergology later consultation	high
807	Dermato-venerologi, allergologi telefonkonsultation	Dermato-venereology, allergology telephone consultation	high
817	Dermato-venerologi, blodprøve, ekspedition 1	Dermato-venereology, blood sample, handling 1	medium
820	Dermato-venerologi, klamydia forsendelse 1	Dermato-venereology, chlamydia specimen dispatch 1	medium
821	Dermato-venerologi, dermatologisk behandling R81	Dermato-venereology, dermatological treatment (R81)	medium
828	Dermato-venerologi, eksem 1. konsultation	Dermato-venereology, eczema 1st consultation	high
830	Dermato-venerologi, eksem 2. konsultation	Dermato-venereology, eczema 2nd consultation	high
